ActivityDate,Id,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
4/2/2016,99990034,1669,0.8718006306885391,1659,14,250,917
4/3/2016,99990034,8712,3.5444568799370932,2027,6,212,1211
4/4/2016,99990034,8110,6.429134910083862,2268,25,135,1161
4/5/2016,99990034,9744,1.9907335666930042,2178,47,160,829
4/6/2016,99990034,5992,7.266789229095412,2360,42,205,851
4/7/2016,99990034,5303,3.5509523018697178,1780,28,133,956
4/8/2016,99990034,5733,4.592602802579829,2873,29,170,1034
4/9/2016,99990034,3348,6.129855635497058,2461,18,165,1341
4/1/2016,99990035,11125,6.484507020509256,2306,14,124,834
4/10/2016,99990035,4283,3.573222374812517,2227,0,154,819
4/11/2016,99990035,3878,2.210916836674781,2381,36,213,1031
4/12/2016,99990035,6046,2.9420511764440302,2274,14,265,789
4/2/2016,99990035,9377,5.132974739105527,2662,5,92,849
4/3/2016,99990035,7141,5.492048676203574,2135,25,142,829
4/4/2016,99990035,10437,3.0945294099214085,2219,12,141,1104
4/5/2016,99990035,4840,4.175452166025098,2600,19,228,1089
4/6/2016,99990035,8784,4.287573963355849,2269,25,227,1205
4/7/2016,99990035,7969,6.249328661105391,2182,15,263,1058
4/8/2016,99990035,6477,3.0369132116610045,2330,12,232,1042
4/9/2016,99990035,6082,2.5652314861588184,2334,3,123,1040
